,Date,Open,High,Low,Close
1144,2023-05-30,0.0069,0.0069,0.0041,0.006
1143,2023-05-26,0.0069,0.0069,0.004,0.0069
1142,2023-05-25,0.0036,0.0069,0.0036,0.0069
1141,2023-05-24,0.0053,0.0053,0.0053,0.0053
1140,2023-05-23,0.0013,0.0072,0.0013,0.0053
1139,2023-05-22,0.0072,0.0072,0.0035,0.0042
1138,2023-05-19,0.0072,0.0072,0.0072,0.0072
1137,2023-05-18,0.02,0.02,0.002,0.002
1136,2023-05-17,0.0061,0.0072,0.0061,0.0072
1135,2023-05-16,0.0072,0.0072,0.0061,0.0072
1134,2023-05-15,0.0072,0.0072,0.0061,0.0072
1133,2023-05-12,0.0055,0.0055,0.0055,0.0055
1132,2023-05-11,0.0055,0.006,0.0055,0.006
1131,2023-05-10,0.0073,0.0073,0.0056,0.0058
1130,2023-05-09,0.0072,0.0073,0.0055,0.0055
1129,2023-05-08,0.0073,0.0073,0.0036,0.0072
1128,2023-05-05,0.005,0.0074,0.005,0.005
1127,2023-05-04,0.007,0.0075,0.0037,0.0037
1126,2023-05-03,0.0081,0.0081,0.0075,0.0075
1125,2023-05-02,0.0081,0.0081,0.0036,0.0036
1124,2023-05-01,0.005,0.005,0.002,0.002
1123,2023-04-28,0.0016,0.0017,0.0016,0.0017
1122,2023-04-27,0.0067,0.0072,0.0065,0.0065
1121,2023-04-26,0.0014,0.0014,0.0014,0.0014
1120,2023-04-25,0.0014,0.0014,0.0014,0.0014
1119,2023-04-24,0.0013,0.0014,0.0013,0.0014
1118,2023-04-21,0.0013,0.0016,0.0013,0.0013
1117,2023-04-20,0.0025,0.007,0.0025,0.0025
1116,2023-04-19,0.0011,0.0025,0.0011,0.0025
1115,2023-04-18,0.001,0.004,0.0008,0.004
1114,2023-04-17,0.0035,0.0046,0.0006,0.0006
1113,2023-04-14,0.006,0.006,0.0031,0.0035
1112,2023-04-13,0.006,0.006,0.006,0.006
1111,2023-04-12,0.003,0.006,0.003,0.006
1110,2023-04-11,0.0065,0.0065,0.003,0.003
1109,2023-04-10,0.0072,0.008,0.0065,0.0065
1108,2023-04-06,0.0065,0.0072,0.0065,0.0069
1107,2023-04-05,0.0067,0.0067,0.0067,0.0067
1106,2023-04-04,0.0051,0.0051,0.005,0.005
1105,2023-04-03,0.0061,0.0061,0.0061,0.0061
1104,2023-03-31,0.0072,0.0072,0.005,0.005
1103,2023-03-30,0.0063,0.0067,0.0063,0.0067
1102,2023-03-29,0.0072,0.008,0.0063,0.0063
1101,2023-03-28,0.0064,0.008,0.0063,0.0072
1100,2023-03-27,0.012,0.012,0.0064,0.0064
1099,2023-03-24,0.0068,0.012,0.0063,0.0089
1098,2023-03-23,0.01,0.01,0.0067,0.0067
1097,2023-03-22,0.0139,0.0139,0.0101,0.0101
1096,2023-03-21,0.0111,0.0111,0.0101,0.0102
1095,2023-03-20,0.0102,0.0128,0.0102,0.0128
1094,2023-03-17,0.0137,0.0137,0.0106,0.0115
1093,2023-03-16,0.0112,0.0139,0.007,0.0139
1092,2023-03-15,0.011,0.013,0.011,0.0113
1091,2023-03-14,0.011,0.0111,0.011,0.0111
1090,2023-03-13,0.0122,0.0142,0.0065,0.0142
1089,2023-03-10,0.0198,0.0198,0.0131,0.016
1088,2023-03-09,0.02,0.025,0.0118,0.0198
1087,2023-03-08,0.006,0.022,0.006,0.0199
1086,2023-03-07,0.0205,0.0219,0.005,0.006
